query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done,link
Arachniodes oohorae H.Ito,Arachniodes oosorae H. Itô,accepted,FALSE,0,1,0,NA,NA,J. Jap. Bot. 66(4): 191 (1991).  http://www.jjbotany.com/pdf/JJB_066_191_193.pdf,https://www.ipni.org/n/17542330-1,spelling mistake in species name,oosorae is incorrect; verified with original publication,fuzzy,1,https://www.ipni.org/n/17542330-1
Arachniodes simplicior var. simplicior,Arachniodes similis Ching,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Arachniodes simplicior (Makino) Ohwi,fuzzy,1,NA
Asplenium actinopteroides Peter,Asplenium actiniopteroides Peter,accepted,FALSE,1,0,0,NA,NA,"Repertorium Specierum Novarum Regni Vegetabilis, Beihefte 40: 79. 1929. (Repert. Spec. Nov. Regni Veg. Beih.) ",http://www.tropicos.org/Name/26625443,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26625443
Asplenium annobonense Viane,Asplenium morogorense Viane,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Asplenium annobonense Hieron. ex Viane,fuzzy,1,NA
Asplenium attenuatum var. attenuatum,Asplenium attenuatum Kaulf.,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Asplenium attenuatum R. Br.,fuzzy,1,NA
Asplenium bulbiferum subsp. bulbiferum,Asplenium bulbiferum Baker,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Change to synonym of Asplenium bulbiferum G. Forst.,fuzzy,1,NA
Asplenium carnarvonense Brownsey,Asplenium carnavonense Brownsey,accepted,FALSE,0,1,0,NA,NA,Flora of Australia 48: 709. 1998. (Fl. Australia) ,http://www.tropicos.org/Name/100503474,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100503474
Asplenium fissum Kit. ex Willd.,Asplenium obtusum Kit. ex Willd.,ambiguous synonym,FALSE,0,0,0,NA,NA,Species Plantarum. Editio quarta 5: 348. 1805. (Sp. Pl.) ,http://www.tropicos.org/Name/26611120,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26611120
Asplenium foresiense Legrand,Asplenium forisiense Grand,synonym,FALSE,0,1,0,NA,NA,Statistique du Forez 252. 1873. (Statistique du Forez) ,http://www.tropicos.org/Name/26609727,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26609727
Asplenium neolaserpitiifolium Tardieu & Ching,Asplenium neolaserpitifolium Tardieu & Ching,accepted,FALSE,0,1,0,NA,NA,"Notulae Systematicae. Herbier du Museum de Paris 5(2): 153–154, pl. 6, f. 1–2. 1936. (Notul. Syst. (Paris)) ",http://www.tropicos.org/Name/26618269,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26618269
Asplenium oblongifolium Col.,Asplenium longifolium D. Don,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Asplenium oblongifolium Colenso,fuzzy,1,NA
Asplenium obovatum subsp. obovatum,Asplenium striatum L.,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,"Asplenium obovatum subsp. obovatum, redundant with Asplenium obovatum Viv. from database",fuzzy,1,NA
Asplenium oldhami Hance,Asplenium oldhamii Hance,accepted,FALSE,0,1,0,NA,NA,"Annales des Sciences Naturelles; Botanique, sér. 5, 5: 256–257. 1866. (Ann. Sci. Nat., Bot., sér. 5,) ",http://www.tropicos.org/Name/50051285,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50051285
Asplenium pseudoerectum Hieron.,Asplenium pseuderectum Hieron.,accepted,FALSE,1,0,0,NA,NA,NA,https://www.ipni.org/n/22643-2,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/22643-2
Asplenium richardii Hook.f.,Asplenium wardii Hook.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as author variant of Asplenium richardii Hook. fil.,fuzzy,1,NA
Asplenium scleropium Homb. & Jacq.,Asplenium scleroprium Hombr. & Jacq.,accepted,FALSE,1,0,0,NA,NA,"Voyage au Pôle sud et dans l'Océanie sur les corvettes l'Astrolabe et la Zelée , t1, f D. 1853. (Voy. Pôle Sud) ",http://www.tropicos.org/Name/100485709,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100485709
Asplenium trichomanes subsp. inexpectans Lovis,Asplenium trichomanes subsp. inexpectatum Lovis,accepted,FALSE,0,1,0,NA,NA,British Fern Gazette 9(5): 155. 1964. (Brit. Fern Gaz.) ,http://www.tropicos.org/Name/26610417,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26610417
Athyrium bourgaei E. Fourn.,Athyrium bourgeaui E. Fourn.,accepted,FALSE,0,1,0,NA,NA,Mexicanas Plantas 1: 102. 1872. (Mexic. Pl.) ,http://www.tropicos.org/Name/26617249,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617249
Athyrium myriomerum Christ,Athyrium myriopterum Christ,synonym,FALSE,0,0,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 6(2): 169. 1906. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/26617277,both names should be synonyms of Diplazium myriomerum (Christ) Lellinger,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617277
Botrychium lanceolatum subsp. lanceolatum,Botrychium lanceolatum Rupr.,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,"remove Botrychium lanceolatum subsp. lanceolatum, redundant with Botrychium lanceolatum Rupr.",fuzzy,1,NA
Cephalomanes javanicum (Blume) Bosch,Cephalomanes javanica (Blume) Bosch,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Cephalomanes javanicum (Blume) C. Presl,fuzzy,1,NA
Ceratopteris pteridoides (Hook.) Hieron.,Ceratopteris pteridioides (Hook.) Hieron.,accepted,FALSE,0,1,0,NA,NA,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 34(5): 561. 1905. (Bot. Jahrb. Syst.) ",http://www.tropicos.org/Name/26601984,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26601984
Cornopteris banahaoensis (C.Chr.) K.Iwats. & M.G.Price,Cornopteris banajaoensis (C. Chr.) K. Iwats. & M. G. Price,accepted,FALSE,1,0,0,NA,NA,S. E. Asian Stud. 14(4): 564 (1977). ,https://www.ipni.org/n/17566810-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17566810-1
Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons (Bosch) K. Iwats.,accepted,FALSE,0,1,0,NA,NA,"Journal of the Faculty of Science: University of Tokyo, Section 3, Botany 13(5): 527. 1985. (J. Fac. Sci. Univ. Tokyo, Sect. 3, Bot.) ",http://www.tropicos.org/Name/50050165,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50050165
Cyclosorus marquesicus (Holttum) Lorence & A.R.Sm.,Cyclosorus marquesicum (Holttum) Lorence & A. R. Sm.,synonym,FALSE,0,1,0,NA,NA,PhytoKeys 4: 43 (2011).,https://www.ipni.org/n/77112686-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/77112686-1
Davallia tasmani Field,Davallia tasmanica Gand.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Davallia tasmanii Field,fuzzy,1,NA
Davallodes gymnocarpa Copel.,Davallodes gymnocarpum Copel.,synonym,FALSE,0,1,0,NA,NA,"The Philippine Journal of Science. Section C, Botany 3: 34, t.5. 1908. (Philipp. J. Sci., C.) ",http://www.tropicos.org/Name/100512007,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100512007
Davallodes hirsuta (J.Sm.) Copel.,Davallodes hirsutum (J. Sm.) Copel.,synonym,FALSE,1,0,0,NA,NA,,http://www.tropicos.org/Name/50065430,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50065430
Deparia polyrhizon (Baker) Sledge,Deparia polyrhiza (Baker) Sledge,synonym,FALSE,0,1,0,NA,NA,Botanical Journal of the Linnean Society 84(1): 6. 1982. (Bot. J. Linn. Soc.) ,http://www.tropicos.org/Name/50108694,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50108694
Dicksonia berteroana (Colla) Hook.,Dicksonia berteriana (Colla) Hook.,accepted,FALSE,0,1,0,NA,NA,"Sp. Fil. [W. J. Hooker] 1: 67, t.23A (1844). ",https://www.ipni.org/n/17082690-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17082690-1
Dicksonia fibrosia Col.,Dicksonia fibrosa Colenso,accepted,FALSE,1,0,0,NA,NA,"Tasmanian Journal of Natural Science, Agriculture, Statistics, etc. 2(8): 179. 1845. (Tasmanian J. Nat. Sci.) ",http://www.tropicos.org/Name/100490049,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100490049
Dicksonia lanata Col.,Dicksonia glabrata Ces.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Dicksonia lanata Colenso,fuzzy,1,NA
Dicksonia perriei Noben & Lehnert,Dicksonia perrieri Noben & Lehnert,accepted,FALSE,0,1,0,NA,NA,"Phytotaxa 155(1): 31–32, f. 2B, 3B. 2013. (19 December 2013) (Phytotaxa) ",http://www.tropicos.org/Name/100395342,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100395342
Didymoglossum krausii (Hook. & Grev.) C.Presl,Didymoglossum kraussii (Hook. & Grev.) C. Presl,accepted,FALSE,0,1,0,NA,NA,Hymenophyllaceae 115. 1843. (Hymenophyllaceae) ,http://www.tropicos.org/Name/26608370,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26608370
Diplazium okudairai Makino,Diplazium okudairae Makino,accepted,FALSE,0,1,0,NA,NA,"Botanical Magazine, Tokyo 20(236): 84–85. 1906. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/26611470,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26611470
Diplazium petrii Tardieu,Diplazium petelotii Tardieu,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Diplazium petri Tardieu,fuzzy,1,NA
Doodia lyoni O.Deg.,Doodia lyonii O. Deg.,accepted,FALSE,1,0,0,NA,NA,Fl. Hawaiiensis [Degener] Fam. 17 (1934). ,https://www.ipni.org/n/17389370-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17389370-1
Dryopteris amurensis H.Christ,Dryopteris limonensis Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Dryopteris amurensis (Milde) Christ,fuzzy,1,NA
Dryopteris chichisimensis Nakai ex H.Ito,Dryopteris chichishimensis Nakai ex H. Itô,synonym,FALSE,0,1,0,NA,NA,"Botanical Magazine, Tokyo 49: 435. 1935. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/26611731,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26611731
Dryopteris insularis var. chichisimensis (Nakai ex H.Ito) H.Ito,Dryopteris insularis var. chichishimensis (Nakai ex Itô) Itô,accepted,FALSE,0,1,0,NA,NA,Nova Flora Japonica 4: 57. 1939. (Nov. Fl. Jap.) ,http://www.tropicos.org/Name/26611733,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26611733
Dryopteris sabae (Franch. & Sav.) C.Chr.,Dryopteris laxa (Franch. & Sav.) C. Chr.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Dryopteris sabaei (Franch. & Sav.) C. Chr.,fuzzy,1,NA
Dryopteris saxifragivaria Nakai,Dryopteris ×  saxifragi-varia Nakai,accepted,FALSE,0,1,0,NA,NA,Journal of Japanese Botany 18: 286. 1942. (J. Jap. Bot.) ,http://www.tropicos.org/Name/50317701,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50317701
Dryopteris sublacera H.Christ,Dryopteris subramosa Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Dryopteris sublacera Christ,fuzzy,1,NA
Dryopteris transmorrisonensis (Hayata) Hayata,Dryopteris morrisonensis (Hayata) Hayata,synonym,FALSE,0,0,1,NA,NA,Icones plantarum formosanarum nec non et contributiones ad floram formosanam. 4: 187–188. 1914,https://www.tropicos.org/name/26625254,spelling mistake in species name,NA,fuzzy,1,https://www.tropicos.org/name/26625254
Elaphoglossum backhousianum T.Moore,Elaphoglossum backhouseanum T. Moore,accepted,FALSE,1,0,0,NA,NA,"The Gardeners' Chronicle, new series 17: 672. 1882. (Gard. Chron., n.s.) ",http://www.tropicos.org/Name/26617320,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617320
Elaphoglossum dendricola (Baker) Christ,Elaphoglossum dendricolum (Baker) Christ,accepted,FALSE,0,1,0,NA,NA,Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften 36: 94. 1899. (Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss.) ,http://www.tropicos.org/Name/26615004,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26615004
Elaphoglossum herminieri (Bory & Fee) T.Moore,Elaphoglossum lherminieri (Bory ex Fée) T. Moore,accepted,FALSE,1,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,1,NA
Elaphoglossum ovalilimbatum Bonap.,Elaphoglossum ovatilimbatum Bonap.,accepted,FALSE,0,1,0,NA,NA,Notes Ptéridologiques 16: 129. 1925. (Notes Ptéridol.) ,http://www.tropicos.org/Name/26601541,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26601541
Gaga kauflussii (Kunze) F.W.Li & Windham,Gaga kaulfussii (Kunze) Fay W. Li & Windham,accepted,FALSE,1,0,0,NA,NA,Systematic Botany 37(4): 857. 2012. (1 October 2012) (Syst. Bot.) ,http://www.tropicos.org/Name/100383680,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100383680
Goniophlebium mehibitense (C.Chr.) Parris,Goniophlebium mehipitense (C. Chr.) Parris,accepted,FALSE,0,1,0,NA,NA,British Fern Gazette 12: 118. 1980. (Brit. Fern Gaz.) ,http://www.tropicos.org/Name/26612866,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26612866
Humata anderssonii (Mett.) C.Chr.,Humata andersonii (Mett.) C. Chr.,synonym,FALSE,0,1,0,NA,NA,Index Filicum 353. 1905. (Index Filic.) ,http://www.tropicos.org/Name/100521357,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100521357
Humata tyermanii T.Moore,Humata tyermannii T. Moore,synonym,FALSE,0,1,0,NA,NA,"The Gardeners' Chronicle & Agricultural Gazette 1871: 870–871, f. 178. 1871. (8 Jul 1871) (Gard. Chron.) ",http://www.tropicos.org/Name/26618911,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26618911
Hymenophyllum acanthoides Bosch,Hymenophyllum adiantoides Bosch,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Hymenophyllum acanthoides (Bosch) Rosenst.,fuzzy,1,NA
Hymenophyllum caespitosa Gaudich.,Hymenophyllum caespitosum Gaudich.,accepted,FALSE,1,0,0,NA,NA,NA,https://www.ipni.org/n/125710-2,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/125710-2
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,0,0,0,NA,NA,Annuaire du Conservatoire et du Jardin Botaniques de Genève 4: 208. 1900. (Annuaire Conserv. Jard. Bot. Genève) ,http://www.tropicos.org/Name/26611202,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26611202
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,0,0,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 1(10): 1021. 1901. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/50050102,"nom. nud. – as ""Liukiuense""",exclude,fuzzy,1,http://www.tropicos.org/Name/50050102
Lellingeria mitchellae (Baker ex Hemsl.) A.R.Sm. & R.C.Morancies,Lellingeria mitchelliae (Baker ex Hemsl.) A. R. Sm. & R. C. Moran,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 81(3): 85. 1991. (Amer. Fern J.) ,http://www.tropicos.org/Name/26614753,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26614753
Lellingeria pseudomitchelliae (Lellinger) A.R.Sm. & R.C.Moran,Lellingeria pseudomitchellae (Lellinger) A. R. Sm. & R. C. Moran,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 81(3): 86. 1991. (Amer. Fern J.) ,http://www.tropicos.org/Name/26614762,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26614762
Lepisorus hsiaowutaiensis Ching & S.K.Wu,Lepisorus hsiawutaiensis Ching & S. K. Wu,synonym,FALSE,0,1,0,NA,NA,"Acta Botanica Yunnanica 5(1): 6–7, pl. 10, f. 4. 1983. (Acta Bot. Yunnan.) ",http://www.tropicos.org/Name/26621864,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26621864
Lepisorus xiphiopteris (Baker) W.M.Chu ex Y.X.Lin,Lepisorus xiphopteris (Baker) W. M. Chu ex Y. X. Lin,synonym,FALSE,0,1,0,NA,NA,Flora Reipublicae Popularis Sinicae 6(2): 68. 2000. (Fl. Reipubl. Popularis Sin.) ,http://www.tropicos.org/Name/50195581,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50195581
Lindsaea blanda Kuhn,Lindsaea repanda Kunze,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,Add as synonym of Lindsaea blanda Mett. ex Kuhn,fuzzy,1,NA
Lindsaea millefolia K.U.Kramer,Lindsaea millefolium K. U. Kramer,synonym,FALSE,0,0,0,NA,NA,Acta Botanica Neerlandica 6(2): 135. 1957. (Acta Bot. Neerl.) ,http://www.tropicos.org/Name/26613614,spelling mistake in species name; fix according to Tropicos,"Change status of Lindsaea millefolia K.U.Kramer to accepted, add Lindsaea millefolium K. U. Kramer as synonym",fuzzy,1,http://www.tropicos.org/Name/26613614
Lygodium circinatum (Burm.f.) Sw.,Lygodium circinnatum (Burm. fil.) Sw.,accepted,FALSE,0,1,0,NA,NA,Syn. Fil. (Hooker & Baker) (1867). ,https://www.ipni.org/n/137435-3,spelling mistake in species name,spelling mistake in species name,fuzzy,1,https://www.ipni.org/n/137435-3
"Mankyua chejuensis B.Y.Sun, M.H.Kim & C.H.Kim","Mankyua chejuense B. Y. Sun, M. H. Kim & C. H. Kim",accepted,FALSE,1,0,0,NA,NA,"Taxon 50(4): 1020–1024, f. 1. 2001. (Taxon) ",http://www.tropicos.org/Name/50211186,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/50211186
Metathelypteris hattorii (H.Ito) Ching,Metathelypteris hattori (H. Itô) Ching,accepted,FALSE,1,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,1,NA
Metathelypteris hattorii var. nemoralis (Ching) Nakaike,Metathelypteris hattori var. nemoralis (Ching) Nakaike,synonym,FALSE,1,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,1,NA
Microgramma vacciniifolia (Langsd. & Fisch.) Copel.,Microgramma vaccinifolia (Langsd. & Fisch.) Copel.,accepted,FALSE,0,1,0,NA,NA,Genera Filicum: The Genera of Ferns 185. 1947. (Gen. Fil.) ,http://www.tropicos.org/Name/26609816,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26609816
Myriopteris lendigera (Cav.) Fee,Myriopteris lentigera (Cav.) Fée,synonym,FALSE,0,1,0,NA,NA,Cat. Cult. Ferns 28. 1857. (Cat. Cult. Ferns) ,http://www.tropicos.org/Name/26613874,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26613874
Ophioderma redactophyllum Chantanaorr. & Li Bing Zhang,Ophioderma redactophylla Chantanaorr. & Li Bing Zhang,accepted,FALSE,1,0,0,NA,NA,"Phytotaxa 422(1): 102, f. 1, 2. 2019. (21 October 2019) (Phytotaxa) ",http://www.tropicos.org/Name/100486273,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100486273
Oreopteris quelpaertensis (H.Christ) Holub,Oreopteris quelpartensis (Christ) Holub,accepted,FALSE,1,0,0,NA,NA,NA,https://www.ipni.org/n/17446130-1,spelling mistake in species name,NA,fuzzy,1,https://www.ipni.org/n/17446130-1
Paesia rugulosa (Labill.) Kuhn,Paesia rugosula (Labill.) Kuhn,accepted,FALSE,0,0,1,NA,NA,Chaetopterides: 27 (1882),https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17169850-1,spelling mistake in species name,Also make Paesia rugosula (Labill.) Diels a synonym of the query,fuzzy,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17169850-1
Paradavallodes kansuensis Ching,Paradavallodes kansuense Ching,synonym,FALSE,1,0,0,NA,NA,Acta Phytotaxonomica Sinica 11(1): 20–21. 1966. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/26617898,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/26617898
"Parapolystichum microsorum subsp. pentangulare (Colenso) Labiak, Sundue & R.C.Moran","Parapolystichum microsorum subsp. pentagulare (Colenso) Labiak, Sundue & R. C. Moran",synonym,FALSE,0,1,0,NA,NA,Brittonia 67(1): 83. 2015[2014]. (1 October 2014) (Brittonia) ,http://www.tropicos.org/Name/100409350,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100409350
Parapolystichum novoguineensis (Holttum) Sundue & Testo,Parapolystichum novoguineense (Holttum) Sundue & Testo,accepted,FALSE,0,1,0,NA,NA,"Phytotaxa 243(2): 194, f. 1. 2016. (12 January 2016) (Phytotaxa) ",http://www.tropicos.org/Name/100440171,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,1,http://www.tropicos.org/Name/100440171
