query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,use_match_as_accepted,use_match_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes,name_res_status,done
Asplenium pseudoerectum Hieron.,Asplenium pseuderectum Hieron.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Asplenium richardii Hook.f.,Asplenium wardii Hook.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Asplenium scleropium Homb. & Jacq.,Asplenium scleroprium Hombr. & Jacq.,accepted,FALSE,1,0,0,NA,NA,"Voyage au Pôle sud et dans l'Océanie sur les corvettes l'Astrolabe et la Zelée , t1, f D. 1853. (Voy. Pôle Sud) ",http://www.tropicos.org/Name/100485709,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Asplenium trichomanes subsp. inexpectans Lovis,Asplenium trichomanes subsp. inexpectatum Lovis,accepted,FALSE,0,1,0,NA,NA,British Fern Gazette 9(5): 155. 1964. (Brit. Fern Gaz.) ,http://www.tropicos.org/Name/26610417,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Athyrium bourgaei E. Fourn.,Athyrium bourgeaui E. Fourn.,accepted,FALSE,0,1,0,NA,NA,Mexicanas Plantas 1: 102. 1872. (Mexic. Pl.) ,http://www.tropicos.org/Name/26617249,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Athyrium myriomerum Christ,Athyrium myriopterum Christ,synonym,FALSE,0,1,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 6(2): 169. 1906. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/26617277,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Cephalomanes javanicum (Blume) Bosch,Cephalomanes javanica (Blume) Bosch,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Ceratopteris pteridoides (Hook.) Hieron.,Ceratopteris pteridioides (Hook.) Hieron.,accepted,FALSE,0,1,0,NA,NA,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 34(5): 561. 1905. (Bot. Jahrb. Syst.) ",http://www.tropicos.org/Name/26601984,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Cornopteris banahaoensis (C.Chr.) K.Iwats. & M.G.Price,Cornopteris banajaoensis (C. Chr.) K. Iwats. & M. G. Price,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons (Bosch) K. Iwats.,accepted,FALSE,0,1,0,NA,NA,"Journal of the Faculty of Science: University of Tokyo, Section 3, Botany 13(5): 527. 1985. (J. Fac. Sci. Univ. Tokyo, Sect. 3, Bot.) ",http://www.tropicos.org/Name/50050165,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Cyclosorus marquesicus (Holttum) Lorence & A.R.Sm.,Cyclosorus marquesicum (Holttum) Lorence & A. R. Sm.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Davallia tasmani Field,Davallia tasmanica Gand.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Davallodes gymnocarpa Copel.,Davallodes gymnocarpum Copel.,synonym,FALSE,0,1,0,NA,NA,"The Philippine Journal of Science. Section C, Botany 3: 34, t.5. 1908. (Philipp. J. Sci., C.) ",http://www.tropicos.org/Name/100512007,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Davallodes hirsuta (J.Sm.) Copel.,Davallodes hirsutum (J. Sm.) Copel.,synonym,FALSE,1,0,0,NA,NA,,http://www.tropicos.org/Name/50065430,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Deparia polyrhizon (Baker) Sledge,Deparia polyrhiza (Baker) Sledge,synonym,FALSE,0,1,0,NA,NA,Botanical Journal of the Linnean Society 84(1): 6. 1982. (Bot. J. Linn. Soc.) ,http://www.tropicos.org/Name/50108694,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Dicksonia berteroana (Colla) Hook.,Dicksonia berteriana (Colla) Hook.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dicksonia fibrosia Col.,Dicksonia fibrosa Colenso,accepted,FALSE,1,0,0,NA,NA,"Tasmanian Journal of Natural Science, Agriculture, Statistics, etc. 2(8): 179. 1845. (Tasmanian J. Nat. Sci.) ",http://www.tropicos.org/Name/100490049,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Dicksonia lanata Col.,Dicksonia glabrata Ces.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dicksonia perriei Noben & Lehnert,Dicksonia perrieri Noben & Lehnert,accepted,FALSE,0,1,0,NA,NA,"Phytotaxa 155(1): 31–32, f. 2B, 3B. 2013. (19 December 2013) (Phytotaxa) ",http://www.tropicos.org/Name/100395342,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Didymoglossum krausii (Hook. & Grev.) C.Presl,Didymoglossum kraussii (Hook. & Grev.) C. Presl,accepted,FALSE,0,1,0,NA,NA,Hymenophyllaceae 115. 1843. (Hymenophyllaceae) ,http://www.tropicos.org/Name/26608370,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Diplazium okudairai Makino,Diplazium okudairae Makino,accepted,FALSE,0,1,0,NA,NA,"Botanical Magazine, Tokyo 20(236): 84–85. 1906. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/26611470,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Diplazium petrii Tardieu,Diplazium petelotii Tardieu,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Diplazium x okudairaeoides Sa.Kurata,Diplazium ×  okudairaioides Kurata,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Doodia lyoni O.Deg.,Doodia lyonii O. Deg.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dryopteris amurensis H.Christ,Dryopteris limonensis Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dryopteris chichisimensis Nakai ex H.Ito,Dryopteris chichishimensis Nakai ex H. Itô,synonym,FALSE,0,1,0,NA,NA,"Botanical Magazine, Tokyo 49: 435. 1935. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/26611731,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Dryopteris insularis var. chichisimensis (Nakai ex H.Ito) H.Ito,Dryopteris insularis var. chichishimensis (Nakai ex Itô) Itô,accepted,FALSE,0,1,0,NA,NA,Nova Flora Japonica 4: 57. 1939. (Nov. Fl. Jap.) ,http://www.tropicos.org/Name/26611733,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Dryopteris sabae (Franch. & Sav.) C.Chr.,Dryopteris laxa (Franch. & Sav.) C. Chr.,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dryopteris saxifragivaria Nakai,Dryopteris ×  saxifragi-varia Nakai,accepted,FALSE,0,1,0,NA,NA,Journal of Japanese Botany 18: 286. 1942. (J. Jap. Bot.) ,http://www.tropicos.org/Name/50317701,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Dryopteris sublacera H.Christ,Dryopteris subramosa Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Dryopteris transmorrisonensis (Hayata) Hayata,Dryopteris morrisonensis (Hayata) Hayata,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Elaphoglossum backhousianum T.Moore,Elaphoglossum backhouseanum T. Moore,accepted,FALSE,1,0,0,NA,NA,"The Gardeners' Chronicle, new series 17: 672. 1882. (Gard. Chron., n.s.) ",http://www.tropicos.org/Name/26617320,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Elaphoglossum dendricola (Baker) Christ,Elaphoglossum dendricolum (Baker) Christ,accepted,FALSE,0,1,0,NA,NA,Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften 36: 94. 1899. (Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss.) ,http://www.tropicos.org/Name/26615004,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Elaphoglossum herminieri (Bory & Fee) T.Moore,Elaphoglossum lherminieri (Bory ex Fée) T. Moore,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Elaphoglossum ovalilimbatum Bonap.,Elaphoglossum ovatilimbatum Bonap.,accepted,FALSE,0,1,0,NA,NA,Notes Ptéridologiques 16: 129. 1925. (Notes Ptéridol.) ,http://www.tropicos.org/Name/26601541,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Gaga kauflussii (Kunze) F.W.Li & Windham,Gaga kaulfussii (Kunze) Fay W. Li & Windham,accepted,FALSE,1,0,0,NA,NA,Systematic Botany 37(4): 857. 2012. (1 October 2012) (Syst. Bot.) ,http://www.tropicos.org/Name/100383680,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Goniophlebium mehibitense (C.Chr.) Parris,Goniophlebium mehipitense (C. Chr.) Parris,accepted,FALSE,0,1,0,NA,NA,British Fern Gazette 12: 118. 1980. (Brit. Fern Gaz.) ,http://www.tropicos.org/Name/26612866,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Humata anderssonii (Mett.) C.Chr.,Humata andersonii (Mett.) C. Chr.,synonym,FALSE,0,1,0,NA,NA,Index Filicum 353. 1905. (Index Filic.) ,http://www.tropicos.org/Name/100521357,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Humata tyermanii T.Moore,Humata tyermannii T. Moore,synonym,FALSE,0,1,0,NA,NA,"The Gardeners' Chronicle & Agricultural Gazette 1871: 870–871, f. 178. 1871. (8 Jul 1871) (Gard. Chron.) ",http://www.tropicos.org/Name/26618911,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Hymenophyllum acanthoides Bosch,Hymenophyllum adiantoides Bosch,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Hymenophyllum caespitosa Gaudich.,Hymenophyllum caespitosum Gaudich.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,0,1,0,NA,NA,Annuaire du Conservatoire et du Jardin Botaniques de Genève 4: 208. 1900. (Annuaire Conserv. Jard. Bot. Genève) ,http://www.tropicos.org/Name/26611202,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,1,0,0,NA,NA,"Bulletin de l'Herbier Boissier, sér. 2, 1(10): 1021. 1901. (Bull. Herb. Boissier, sér. 2,) ",http://www.tropicos.org/Name/50050102,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Hypodematium taiwanense Ching ex K.H.Shing,Hypodematium taiwanensis Ching ex K. H. Shing,synonym,FALSE,1,0,0,NA,NA,Flora Reipublicae Popularis Sinicae 4(1): 318. 1999. (Fl. Reipubl. Popularis Sin.) ,http://www.tropicos.org/Name/50165405,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lellingeria mitchellae (Baker ex Hemsl.) A.R.Sm. & R.C.Morancies,Lellingeria mitchelliae (Baker ex Hemsl.) A. R. Sm. & R. C. Moran,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 81(3): 85. 1991. (Amer. Fern J.) ,http://www.tropicos.org/Name/26614753,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lellingeria pseudomitchelliae (Lellinger) A.R.Sm. & R.C.Moran,Lellingeria pseudomitchellae (Lellinger) A. R. Sm. & R. C. Moran,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 81(3): 86. 1991. (Amer. Fern J.) ,http://www.tropicos.org/Name/26614762,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lepisorus hsiaowutaiensis Ching & S.K.Wu,Lepisorus hsiawutaiensis Ching & S. K. Wu,synonym,FALSE,0,1,0,NA,NA,"Acta Botanica Yunnanica 5(1): 6–7, pl. 10, f. 4. 1983. (Acta Bot. Yunnan.) ",http://www.tropicos.org/Name/26621864,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lepisorus xiphiopteris (Baker) W.M.Chu ex Y.X.Lin,Lepisorus xiphopteris (Baker) W. M. Chu ex Y. X. Lin,synonym,FALSE,0,1,0,NA,NA,Flora Reipublicae Popularis Sinicae 6(2): 68. 2000. (Fl. Reipubl. Popularis Sin.) ,http://www.tropicos.org/Name/50195581,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lindsaea blanda Kuhn,Lindsaea repanda Kunze,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Lindsaea millefolia K.U.Kramer,Lindsaea millefolium K. U. Kramer,synonym,FALSE,0,1,0,NA,NA,Acta Botanica Neerlandica 6(2): 135. 1957. (Acta Bot. Neerl.) ,http://www.tropicos.org/Name/26613614,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Lygodium circinatum (Burm.f.) Sw.,Lygodium circinnatum (Burm. fil.) Sw.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
"Mankyua chejuensis B.Y.Sun, M.H.Kim & C.H.Kim","Mankyua chejuense B. Y. Sun, M. H. Kim & C. H. Kim",accepted,FALSE,1,0,0,NA,NA,"Taxon 50(4): 1020–1024, f. 1. 2001. (Taxon) ",http://www.tropicos.org/Name/50211186,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Metathelypteris hattorii (H.Ito) Ching,Metathelypteris hattori (H. Itô) Ching,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Metathelypteris hattorii var. nemoralis (Ching) Nakaike,Metathelypteris hattori var. nemoralis (Ching) Nakaike,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Microgramma vacciniifolia (Langsd. & Fisch.) Copel.,Microgramma vaccinifolia (Langsd. & Fisch.) Copel.,accepted,FALSE,0,1,0,NA,NA,Genera Filicum: The Genera of Ferns 185. 1947. (Gen. Fil.) ,http://www.tropicos.org/Name/26609816,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Myriopteris lendigera (Cav.) Fee,Myriopteris lentigera (Cav.) Fée,synonym,FALSE,0,1,0,NA,NA,Cat. Cult. Ferns 28. 1857. (Cat. Cult. Ferns) ,http://www.tropicos.org/Name/26613874,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Ophioderma redactophyllum Chantanaorr. & Li Bing Zhang,Ophioderma redactophylla Chantanaorr. & Li Bing Zhang,accepted,FALSE,1,0,0,NA,NA,"Phytotaxa 422(1): 102, f. 1, 2. 2019. (21 October 2019) (Phytotaxa) ",http://www.tropicos.org/Name/100486273,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Oreopteris quelpaertensis (H.Christ) Holub,Oreopteris quelpartensis (Christ) Holub,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Paesia rugulosa (Labill.) Kuhn,Paesia rugosula (Labill.) Kuhn,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Paradavallodes kansuensis Ching,Paradavallodes kansuense Ching,synonym,FALSE,1,0,0,NA,NA,Acta Phytotaxonomica Sinica 11(1): 20–21. 1966. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/26617898,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
"Parapolystichum microsorum subsp. pentangulare (Colenso) Labiak, Sundue & R.C.Moran","Parapolystichum microsorum subsp. pentagulare (Colenso) Labiak, Sundue & R. C. Moran",synonym,FALSE,0,1,0,NA,NA,Brittonia 67(1): 83. 2015[2014]. (1 October 2014) (Brittonia) ,http://www.tropicos.org/Name/100409350,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Parapolystichum novoguineensis (Holttum) Sundue & Testo,Parapolystichum novoguineense (Holttum) Sundue & Testo,accepted,FALSE,0,1,0,NA,NA,"Phytotaxa 243(2): 194, f. 1. 2016. (12 January 2016) (Phytotaxa) ",http://www.tropicos.org/Name/100440171,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
"Parapolystichum windsorensis (D.L.Jones & B.Gray) Labiak, Sundue & R.C.Moran","Parapolystichum windsorense (D. L. Jones & B. Gray) Labiak, Sundue & R. C. Moran",accepted,FALSE,0,1,0,NA,NA,Brittonia 67(1): 84. 2015[2014]. (1 October 2014) (Brittonia) ,http://www.tropicos.org/Name/100409358,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pecluma oranensis (de la Sota) de la Sota,Pecluma oranense (de la Sota) de la Sota,accepted,FALSE,0,1,0,NA,NA,Hickenia 2(31): 137. 1995. (Hickenia) ,http://www.tropicos.org/Name/50065161,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pecluma ptilodon var. robusta (Fee) Lellinger,Pecluma ptilotos var. robusta (Fée) Lellinger,synonym,FALSE,1,0,0,NA,NA,American Fern Journal 74(2): 60. 1984. (Amer. Fern J.) ,http://www.tropicos.org/Name/26608976,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pecluma ptilotos (Kunze) M.G.Price,Pecluma ptilota (Kunze) M. G. Price,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Physematium manchuriense (Hook.) Nakai,Physematium manchuriensis (Hook.) Nakai,accepted,FALSE,1,0,0,NA,NA,"Botanical Magazine, Tokyo 39(463): 176. 1925. (Bot. Mag. (Tokyo)) ",http://www.tropicos.org/Name/50071100,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pleopeltis murorum (Hook.) A.R.Sm. & Tejero,Pleopeltis murora (Hook.) A. R. Sm. & Tejero,accepted,FALSE,0,1,0,NA,NA,Botanical Sciences 92(1): 47. 2014. (3 March 2014) (Bot. Sci.) ,http://www.tropicos.org/Name/100407913,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pleopeltis polypodioides var. acicularis (Weath.) E.G.Andrews & Windham,Pleopeltis polypodioides var. aciculare (Weath.) E. G. Andrews & Windham,synonym,FALSE,0,1,0,NA,NA,Contributions from the University of Michigan Herbarium 19: 46. 1993. (Contr. Univ. Michigan Herb.) ,http://www.tropicos.org/Name/26617594,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Polypodium wiesbaueri Sodiro,Polypodium wiesbaurii Sodiro,synonym,FALSE,0,1,0,NA,NA,Recensio Cryptogamarum Vascularium Provinciae Quitensis 65. 1883. (Recens. Crypt. Vasc. Quit.) ,http://www.tropicos.org/Name/26609608,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Polystichum erosum Ching,Polystichum grande Ching,ambiguous synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Polystichum lilianiae,Polystichum liui Ching,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Pseudocyclosorus tuberculifer (C.Chr.) Ching,Pseudocyclosorus tuberculiferus (C. Chr.) Ching,synonym,FALSE,0,1,0,NA,NA,Acta Phytotaxonomica Sinica 8(4): 324. 1963. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/50052282,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pteris assamica Fraser-Jenk.,Pteris andamanica Fraser-Jenk.,accepted,FALSE,0,1,0,NA,NA,Taxonomic revision of three hundred Indian subcontinental pteridophytes with a revised census-list : a new picture of fern-taxonomy and nomenclature in the Indian subcontinent 118. 2008. (Taxon. Revis. Indian Subcontinental Pteridophytes) ,http://www.tropicos.org/Name/100356673,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pteris cadieri H.Christ,Pteris radicans Christ,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Pteris lydgatei (Baker) H.Christ,Pteris lidgatii (Baker) Christ,accepted,FALSE,0,1,0,NA,NA,Die Farnkräuter der Erde 167. 1897. (Farnkr. Erde) ,http://www.tropicos.org/Name/100444790,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
Pteris mcclurei Ching,Pteris maclurei Ching,synonym,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Pteris ottaria Bedd.,Pteris otaria Bedd.,accepted,FALSE,0,0,0,NA,NA,NA,NA,spelling mistake in species name,NA,fuzzy,0
Pyrrosia martini (H.Christ) Ching,Pyrrosia martinii (Christ) Ching,synonym,FALSE,0,1,0,NA,NA,Acta Phytotaxonomica Sinica 10(4): 304. 1965. (Acta Phytotax. Sin.) ,http://www.tropicos.org/Name/26619666,spelling mistake in species name; fix according to Tropicos,automatically determined by pteridocat,fuzzy,0
